,cg_flag
0,4072
1,4120
2,4121
3,4122
4,4529
5,4530
6,4531
7,4532
8,4533
9,4534
10,4996
11,4997
12,4998
13,5878
14,5879
15,5998
16,5999
17,6026
18,6027
19,6028
